date,sun_distance_au,sun_influence,jupiter_distance_au,jupiter_influence,saturn_distance_au,saturn_influence,venus_distance_au,venus_influence,mars_distance_au,mars_influence,total_planetary_influence,total_influence,coherence_mean,coherence_median,coherence_std,coherence_count,year
2024-04-06,149704180.0077339,1.485613879137382e-11,871912748.4048738,4.180303730144235e-16,1576587384.4589424,3.830018345225283e-17,245133179.40874818,1.3562926633706091e-17,309874576.1870236,1.114325030851705e-18,4.710078081312341e-16,1.485660979918195e-11,0.0033078202241935933,0.003194107651507544,0.7135810935675289,43342,2024
2024-04-07,149747563.1449815,1.4847532139816868e-11,873201765.6343982,4.16797094174425e-16,1575227724.5848854,3.836632969408728e-17,245586066.41308162,1.35129497794522e-17,309303701.4403849,1.118442195122397e-18,4.697948158430869e-16,1.484800193463271e-11,0.011788778448644196,0.02490912698246026,0.7104485253105929,42756,2024
2024-04-08,149790672.53846797,1.483898720187853e-11,874463861.0487766,4.1559485331556713e-16,1573836128.0958056,3.84342072231959e-17,246032434.7756076,1.3463962078558088e-17,308732976.79394925,1.1225811279659867e-18,4.686156037452871e-16,1.4839455817482278e-11,0.004903990878228498,0.01105694227732229,0.7095852180344442,43338,2024
2024-04-09,149833476.64105305,1.4830510073565708e-11,875698819.082019,4.1442349099216037e-16,1572412933.0848937,3.8503812509553525e-17,246472238.09976178,1.3415954950559958e-17,308162421.575418,1.1267418393694832e-18,4.674700002916433e-16,1.4830977543565998e-11,0.009068430109261403,0.01882277975645764,0.7112114620931227,42463,2024
2024-04-10,149875961.13468993,1.482210342308816e-11,876906445.2620642,4.132828355632428e-16,1570958503.890882,3.8575140927699533e-17,246905445.8487478,1.336891834513975e-17,307592070.33062214,1.130924225572525e-18,4.663578190616546e-16,1.4822569780907225e-11,0.012140495596240518,0.018563027560458426,0.7116022921565923,43045,2024
2024-04-11,149918128.43171605,1.4813766604232565e-11,878086569.3868259,4.121727006014107e-16,1569473226.270783,3.8648186970330355e-17,247332041.3559944,1.3322840998002057e-17,307021968.5566163,1.1351280974533383e-18,4.652788566671964e-16,1.481423188308923e-11,0.018939802963737526,0.037236310144604795,0.71352336120497,43342,2024
2024-04-12,149959994.62883496,1.4805496271863787e-11,879239045.4201535,4.110928854085075e-16,1567957500.7811475,3.872294455323406e-17,247752017.80026373,1.3277710895531012e-17,306452166.98931825,1.1393532206548144e-18,4.642328940779273e-16,1.4805960504757865e-11,0.0014051088797143892,-0.009290095694119574,0.7171318264499187,42756,2024
2024-04-13,150001585.06956005,1.4797287268619396e-11,880363748.6829883,4.100431780136952e-16,1566411736.1797132,3.879940732398498e-17,248165373.45666143,1.3233515801376456e-17,305882716.0323457,1.1435993560335118e-18,4.632197004950901e-16,1.479775048831989e-11,0.01399035718129785,0.014880021949446726,0.7166903490887985,43343,2024
2024-04-14,150042929.86183342,1.478913351584375e-11,881460571.6506748,4.090233593726187e-16,1564836344.2266765,3.887756890631334e-17,248572107.47481212,1.3190243710632737e-17,305313661.50077254,1.147866291598942e-18,4.622390382811638e-16,1.478959575488203e-11,0.0053722616069722786,0.011671121144624652,0.7193807027369983,43934,2024
2024-04-15,150084060.27972168,1.4781028725890597e-11,882529419.6534293,4.080332075425547e-16,1563231736.3995614,3.8957423053498336e-17,248972216.87757802,1.3147883161503236e-17,304745042.08037317,1.152153862559217e-18,4.612906676201155e-16,1.4781490016558217e-11,-0.0012017912404889833,0.00507787356709161,0.7188417305592567,43049,2024
2024-04-16,150125006.3706238,1.477296687365322e-11,883570207.2891439,4.0707250109566574e-16,1561598322.30665,3.90389637198051e-17,249365694.86496705,1.3106423400876461e-17,304176888.26980156,1.1564619607566803e-18,4.60374350177104e-16,1.4773427248003396e-11,-0.0040761491238649385,-0.008453285991899893,0.7329755875825331,43047,2024
