date,sun_distance_au,sun_influence,jupiter_distance_au,jupiter_influence,saturn_distance_au,saturn_influence,venus_distance_au,venus_influence,mars_distance_au,mars_influence,total_planetary_influence,total_influence,coherence_mean,coherence_median,coherence_std,coherence_count,year,total_gravitational_influence
2021-11-05,148344055.6043426,1.5129811090009543e-11,708503928.4324292,6.330957056028412e-16,1492321793.054686,4.2747624507496986e-17,92851849.9400066,9.4531486463639e-17,385188692.42140615,7.211684498344978e-19,7.710959850238117e-16,1.5130582185994566e-11,-0.0032147176620008,0.0063522514056105,1.8218300982591495,39619,2021,7.710959850238117e-16
2021-11-06,148306694.01832244,1.513743508762398e-11,710806212.4292376,6.290011842678907e-16,1494790859.5998194,4.26065217453843e-17,91716245.00488952,9.688690374057263e-17,384776660.2331408,7.227137811479451e-19,7.692173235349957e-16,1.5138204304947515e-11,0.0019904462633372,0.0113789294833869,1.8149117760845463,40183,2021,7.692173235349956e-16
2021-11-07,148269480.20431942,1.514503466086673e-11,713114699.4638146,6.249353844350471e-16,1497255222.4889169,4.246638328357812e-17,90582030.1798064,9.93284157006504e-17,384356209.189068,7.242958134266347e-19,7.674544792327025e-16,1.5145802115345962e-11,0.0325667922679902,0.0259448630985175,1.8001793948019305,40755,2021,7.674544792327023e-16
2021-11-08,148232449.8732887,1.5152602446437222e-11,715428681.6766242,6.208993406327381e-16,1499714130.8675933,4.232724297673305e-17,89449334.58347794,1.018599316384238e-16,383927419.1523263,7.259145790773641e-19,7.658124298269724e-16,1.5153368258867048e-11,-0.0108079373939915,-0.0168277282841838,1.81873722620852,39903,2021,7.658124298269723e-16
2021-11-09,148195652.12422493,1.5160128320235855e-11,717747464.9181578,6.168940172281442e-16,1502166852.1812584,4.218913291887565e-17,88318311.2249785,1.0448551712752936e-16,383490383.3410459,7.2757006487003895e-19,7.642962373394191e-16,1.5160892616473193e-11,0.0052613676577399,-0.0005409285652082,1.8108167848842471,40470,2021,7.642962373394192e-16
2021-11-10,148159144.69100288,1.5167600360673138e-11,720070373.7470497,6.129203023282345e-16,1504612675.6635046,4.205208329050202e-17,87189136.54518566,1.0720939746587724e-16,383045202.7107706,7.292622323658145e-19,7.629110453169794e-16,1.5168363271718455e-11,-0.0031213688278604,0.0165762722940093,1.8123909137958385,39903,2021,7.629110453169795e-16
2021-11-11,148122988.97384435,1.517500586068412e-11,722396753.6133931,6.089790068851805e-16,1507050912.8933177,4.19161223739132e-17,86062008.08441533,1.1003596543656976e-16,382591980.50059336,7.309910381168175e-19,7.616620857337803e-16,1.5175767522769855e-11,-0.0145842170155336,-0.0169322352110765,1.81105840012683,39903,2021,7.616620857337803e-16
2021-11-12,148087245.90361,1.518233217370055e-11,724725970.6711788,6.05070867922039e-16,1509480896.2147331,4.1781276687107725e-17,84937141.41027582,1.1296979160365096e-16,382130817.9549452,7.3275644977600655e-19,7.605546926625737e-16,1.5183092728393215e-11,-0.0223409840426125,-0.0164796737735964,1.8176701397327768,40185,2021,7.605546926625737e-16
2021-11-13,148051973.05566266,1.518956730710047e-11,727057410.1313502,6.011965540932665e-16,1511901976.0830786,4.1647571173550266e-17,83814767.22015062,1.1601563525157468e-16,381661811.5218521,7.3455845687728605e-19,7.595943189752688e-16,1.5190326901419448e-11,-0.0161245638288195,-0.0021082602337302,1.8190932987395725,41328,2021,7.595943189752688e-16
2021-11-14,148017222.92148656,1.519670028057819e-11,729390474.0125159,5.973566720123173e-16,1514313518.18269,4.151502939956146e-17,82695129.08295959,1.191784546723535e-16,381185051.3176652,7.363970769750034e-19,7.587865531612072e-16,1.5197459067131348e-11,0.010437240063764,0.0074193283580584,1.8107168172362127,40186,2021,7.587865531612073e-16
