[03:44:11] [INFO] ================================================================================
[03:44:11] [INFO] 
[03:44:11] [INFO] ================================================================================
[03:44:11] [INFO] TEP GNSS Analysis Package v0.15 (Jaipur) - STEP 3.1: Robust Block Bootstrap
[05:17:10] [INFO] Processing 50 bootstrap samples sequentially (multiprocessing disabled for large datasets)
[05:17:10] [INFO] Running diagnostic check with first 5 samples...
[05:17:13] [INFO] Diagnostic sample 0: SUCCESS - λ=2527.5 km, R²=0.231
[05:17:17] [INFO] Diagnostic sample 1: SUCCESS - λ=2654.8 km, R²=0.313
[05:17:21] [INFO] Diagnostic sample 2: SUCCESS - λ=2619.4 km, R²=0.291
[05:17:24] [INFO] Diagnostic sample 3: SUCCESS - λ=2605.5 km, R²=0.279
[05:17:28] [INFO] Diagnostic sample 4: SUCCESS - λ=2576.2 km, R²=0.315
[05:17:28] [SUCCESS] Diagnostic complete: 5/5 samples successful
[05:18:01] [PROCESS] Station bootstrap progress: 10/50 (20.0%), 9 successful
[05:18:39] [PROCESS] Station bootstrap progress: 20/50 (40.0%), 19 successful
[05:19:17] [PROCESS] Station bootstrap progress: 30/50 (60.0%), 29 successful
[05:19:54] [PROCESS] Station bootstrap progress: 40/50 (80.0%), 39 successful
[05:20:32] [PROCESS] Station bootstrap progress: 50/50 (100.0%), 49 successful
[05:20:36] [DEBUG] Memory cleanup: RSS=2701.04 MB, VMS=7932.23 MB
[05:20:36] [DEBUG] Memory cleanup: RSS=2051.36 MB, VMS=7272.23 MB
[05:20:36] [SUCCESS] Station Block Bootstrap complete: λ = 2578.5 ± 94.9 km (CV = 0.037)
[05:20:36] [DEBUG] Memory cleanup: RSS=2051.36 MB, VMS=7272.23 MB
[05:20:36] [WARNING] High memory usage detected in After Station Bootstrap: 2051.36 MB
[05:20:36] [DEBUG] Memory cleanup: RSS=2051.36 MB, VMS=7272.23 MB
[05:20:36] [INFO] ============================================================
[05:20:36] [PROCESS] Starting Day Block Bootstrap Analysis...
[05:20:36] [WARNING] High memory usage detected in Day Bootstrap Start: 2051.36 MB
[05:20:36] [DEBUG] Memory cleanup: RSS=2051.36 MB, VMS=7272.23 MB
[05:20:36] [INFO] Running 300 day bootstrap samples from 912 unique days
[05:21:20] [PROCESS] Day bootstrap progress: 30/300 (10.0%)
[05:22:06] [PROCESS] Day bootstrap progress: 60/300 (20.0%)
[05:22:52] [PROCESS] Day bootstrap progress: 90/300 (30.0%)
[05:23:37] [PROCESS] Day bootstrap progress: 120/300 (40.0%)
[05:24:22] [PROCESS] Day bootstrap progress: 150/300 (50.0%)
[05:25:08] [PROCESS] Day bootstrap progress: 180/300 (60.0%)
[05:25:53] [PROCESS] Day bootstrap progress: 210/300 (70.0%)
[05:26:39] [PROCESS] Day bootstrap progress: 240/300 (80.0%)
[05:27:24] [PROCESS] Day bootstrap progress: 270/300 (90.0%)
[05:28:10] [PROCESS] Day bootstrap progress: 300/300 (100.0%)
[05:28:11] [SUCCESS] Day Block Bootstrap complete: λ = 2584.1 ± 37.0 km (CV = 0.014)
[05:28:11] [DEBUG] Memory cleanup: RSS=2628.26 MB, VMS=7848.74 MB
[05:28:11] [DEBUG] Memory cleanup: RSS=2051.75 MB, VMS=7272.23 MB
[05:28:11] [WARNING] High memory usage detected in After Day Bootstrap: 2051.75 MB
[05:28:11] [DEBUG] Memory cleanup: RSS=2051.75 MB, VMS=7272.23 MB
[05:28:11] [INFO] ============================================================
[05:28:11] [PROCESS] Starting Hybrid Block Bootstrap Analysis...
[05:28:11] [WARNING] High memory usage detected in Hybrid Bootstrap Start: 2051.75 MB
[05:28:11] [DEBUG] Memory cleanup: RSS=2051.75 MB, VMS=7272.23 MB
[05:28:12] [INFO] Running 200 hybrid bootstrap samples from 289 stations and 912 days
[05:28:53] [PROCESS] Hybrid bootstrap progress: 20/200 (10.0%)
[05:29:34] [PROCESS] Hybrid bootstrap progress: 40/200 (20.0%)
[05:30:17] [PROCESS] Hybrid bootstrap progress: 60/200 (30.0%)
[05:30:59] [PROCESS] Hybrid bootstrap progress: 80/200 (40.0%)
[05:31:41] [PROCESS] Hybrid bootstrap progress: 100/200 (50.0%)
[05:32:24] [PROCESS] Hybrid bootstrap progress: 120/200 (60.0%)
[05:33:06] [PROCESS] Hybrid bootstrap progress: 140/200 (70.0%)
[05:33:48] [PROCESS] Hybrid bootstrap progress: 160/200 (80.0%)
[05:34:30] [PROCESS] Hybrid bootstrap progress: 180/200 (90.0%)
[05:35:13] [PROCESS] Hybrid bootstrap progress: 200/200 (100.0%)
[05:35:15] [SUCCESS] Hybrid Block Bootstrap complete: λ = 2585.0 ± 97.0 km (CV = 0.038)
[05:35:15] [DEBUG] Memory cleanup: RSS=2570.54 MB, VMS=7791.02 MB
[05:35:15] [DEBUG] Memory cleanup: RSS=2051.75 MB, VMS=7272.23 MB
[05:35:15] [INFO] ============================================================
[05:35:15] [PROCESS] Assessing bootstrap method consistency...
[05:35:15] [INFO] Bootstrap consistency: high (CV = 0.001)
[05:35:15] [SUCCESS] Robust block bootstrap analysis complete for esa_final
[05:35:15] [INFO] Successful methods: ['station', 'day', 'hybrid']
[05:35:15] [SUCCESS] Results saved to: /mnt/data/results/outputs/step_3_1_robust_block_bootstrap_esa_final.json
[05:35:15] [DEBUG] Memory cleanup: RSS=976.72 MB, VMS=6197.15 MB
[05:35:15] [DEBUG] Memory usage after esa_final: RSS=976.72 MB, VMS=6197.15 MB
[05:35:15] [INFO] 
[05:35:15] [PROCESS] Processing analysis center: IGS_COMBINED
[05:35:15] [INFO] --------------------------------------------------
[05:35:15] [PROCESS] Starting robust block bootstrap analysis for igs_combined
[05:35:15] [PROCESS] Loading complete pair dataset for igs_combined with chunking (chunk_size=25000)...
[05:35:15] [INFO] Using filtered Step 2.1 geospatial data: step_2_1_geospatial_igs_combined.csv
[05:35:15] [INFO] Large file detected (1660.6 MB), using chunked loading...
[05:35:15] [DEBUG] Loaded 10 chunks...
[05:35:16] [DEBUG] Loaded 20 chunks...
[05:35:16] [DEBUG] Loaded 30 chunks...
[05:35:16] [DEBUG] Loaded 40 chunks...
[05:35:16] [DEBUG] Loaded 50 chunks...
[05:35:16] [DEBUG] Loaded 60 chunks...
[05:35:17] [DEBUG] Loaded 70 chunks...
[05:35:17] [DEBUG] Loaded 80 chunks...
