code,coord_source_code,lat_deg,lon_deg,height_m,X,Y,Z,geomag_lat,geomag_lon,has_coordinates
ALRT00CAN,ALRT,82.494,-62.34,78.11,388042.75,-740382.4,6302001.85,82.80026330427697,-62.34,True
AMC200USA,AMC2,38.803,-104.525,1912.49,-1248596.252,-4819428.284,3976506.034,47.39660277224832,-104.525,True
AMC400USA,AMC4,38.803,-104.525,1911.394,-1248596.405,-4819428.21,3976505.93,47.39660291142876,-104.525,True
AMCT00USA,AMCT,38.803,-104.525,1913.06,-1248596.241,-4819429.589,3976506.987,47.396602699864175,-104.525,True
AMMN00JOR,AMMN,32.03,35.88,1055.83,4386110.98,3172646.63,3363659.56,29.607062746112884,35.88,True
ANK200TUR,ANK2,39.843,32.775,1294.3,4124040.177,2655251.841,4065428.467,38.701933797420715,32.775,True
ANKR00TUR,ANKR,39.888,32.759,974.8,4121934.26,2652189.812,4069034.911,38.75416360139036,32.759,True
ANMG00MYS,ANMG,2.785,101.507,15.002,-1270826.87,6242631.446,307792.439,-5.014269285246331,101.507,True
ANTC00CHL,ANTC,-37.339,-71.532,745.4,1608539.0,-4816370.0,-3847799.0,-21.916813831386975,-71.532,True
ANTF00CHL,ANTF,-23.702,-70.42,68.4,1958240.723,-5505483.304,-2548076.547,-11.902458790107493,-70.42,True
AOA100USA,AOA1,34.157,-118.83,246.564,-2547888.0108,-4628773.6921,3561050.0129,39.584617792094456,-118.83,True
AOML00USA,AOML,25.735,-80.162,0.1,982296.723,-5664607.219,2752614.499,34.482567014674096,-80.162,True
AREG00PER,AREG,-16.465,-71.493,2489.337,1942816.3653,-5804077.1395,-1796884.4383,-5.441168767673318,-71.493,True
AREQ00PER,AREQ,-16.466,-71.493,2488.923,1942826.192,-5804070.331,-1796894.267,-5.442054906042266,-71.493,True
AREV00PER,AREV,-16.466,-71.493,2488.923,1942826.192,-5804070.331,-1796894.267,-5.442054906042266,-71.493,True
ARHT00ATA,ARHT,-77.829,166.664,135.328,-1312626.536,311171.129,-6213081.915,-70.97095569531545,166.664,True
ARTU00RUS,ARTU,56.43,58.56,247.511,1843956.968,3016202.97,5291261.66,59.76688088605026,58.56,True
ARUA00UGA,ARUA,3.017,30.91,1208.9,5465789.6,3272492.248,333531.017,-7.4509587533984485,30.91,True
ARUC00ARM,ARUC,40.286,44.086,1222.0,3500416.7822,3390432.6839,4103027.5848,40.36636944136348,44.086,True
ASC100SHN,ASC1,-7.951,-14.412,105.0,6118526.069,-1572344.759,-876451.0446,-26.19970566617354,-14.412,True
ASCG00SHN,ASCG,-7.916,-14.333,38.0,6121151.578,-1563978.904,-872615.417,-26.174563805841053,-14.333,True
ASPA00USA,ASPA,-14.326,-170.722,53.7,-6100260.096,-996503.51,-1567977.812,-16.414489051588973,-170.722,True
ATRU00KAZ,ATRU,47.131,51.954,-32.052,2679051.8578,3423332.414,4651652.39,48.83646294242105,51.954,True
AUCK00NZL,AUCK,-36.603,174.834,132.711,-5105681.0,461564.0,-3782181.7,-43.94060915295825,174.834,True
AZU100USA,AZU1,34.126,-117.896,144.75,-2472979.3867,-4671338.0652,3558107.7527,39.76355559344296,-117.896,True
